IdSensore	Tipologia	Unità DiMisura	IdStazione	NomeStazione	Quota	Provincia	DataStart	DataStop	Storico	UTM_Nord	UTM_Est	lng	lat	location
8171	Precipitazione	mm	821	Azzone Dezzo di Scalve	599	BG	31/12/2001		N	5091862	585537	10.104172962540085	45.974995491038065	(45.974995491038065, 10.104172962540085)
11641	Velocità Vento	m/s	102	San Colombano al Lambro	140	MI	27/06/2001		N	5003839	538199	9.48624910324399	45.18699944365492	(45.18699944365492, 9.48624910324399)
8018	Precipitazione	mm	836	Aprica	1950	SO	01/01/1995		N	5109097	588704	10.148256664341748	46.1296816331299	(46.1296816331299, 10.148256664341748)
8114	Livello Idrometrico	cm	862	Lodi v. X Maggio	64	LO	24/07/1998		N	5018523	539869	9.50868492406451	45.31908017313	(45.31908017313, 9.50868492406451)
14120	Precipitazione	mm	1326	Toscolano-Maderno	70	BS	25/03/2012		N	5054923	626016	10.616881058085147	45.63641191007713	(45.63641191007713, 10.616881058085147)
8587	Precipitazione	mm	998	Laveno-Mombello p.zza Matteotti	207	VA	24/06/1999		N	5084109	470426	8.61868470587428	45.909913257580605	(45.909913257580605, 8.61868470587428)
32247	Umidità Relativa	%	904	Paisco Loveno	816	BS	01/08/2016		N	5103599	600282	10.296934209142101	46.07860776076735	(46.07860776076735, 10.296934209142101)
4025	Precipitazione	mm	142	Caiolo	274	SO	24/05/2002		N	5111566	561195	9.792518875272254	46.15492316813672	(46.15492316813672, 9.792518875272254)
4016	Precipitazione	mm	141	Vertemate con Minoprio serre	310	CO	04/02/2009		N	5062832	506653	9.085488499092358	45.71901089635149	(45.71901089635149, 9.085488499092358)
19441	Temperatura	°C	1659	Mornico al Serio campo sportivo	162	BG	14/04/2017		N	5049158	562551	9.801958293333914	45.593149797512346	(45.593149797512346, 9.801958293333914)
8168	Temperatura	°C	885	Arcisate	383	VA	05/07/2000		N	5076955	491501	8.890542676800244	45.84610717798399	(45.84610717798399, 8.890542676800244)
14634	Direzione Vento	°	1233	Lurago Marinone	296	CO	13/02/2013		N	5061867	497850	8.972377589946609	45.71035377227722	(45.71035377227722, 8.972377589946609)
7030	Umidità Relativa	%	687	Ferno	215	VA	05/11/2006		N	5051773	481053	8.756970445453431	45.61924377994763	(45.61924377994763, 8.756970445453431)
2476	Radiazione Globale	W/m²	135	Vertemate con Minoprio villa	322	CO	21/02/1992	22/07/2010	S	5062757	506658	9.085551716901774	45.71833578979237	(45.71833578979237, 9.085551716901774)
8380	Livello Idrometrico	cm	859	Luino v. Piero Chiara	205	VA	24/07/1998		N	5094539	480080	8.742723870723832	46.004134164051614	(46.004134164051614, 8.742723870723832)
14128	Precipitazione	mm	1328	Teglio S. Giacomo	357	SO	20/04/2012		N	5112157	580182	10.038477988191712	46.1582723086524	(46.1582723086524, 10.038477988191712)
2063	Temperatura	°C	104	Segrate Milano Due	120	MI	21/06/1995	16/06/2004	S	5038760	520713	9.26512999260201	45.50206407454183	(45.50206407454183, 9.26512999260201)
6157	Umidità Relativa	%	595	Filago v.Don Milani	190	BG	01/01/1992		N	5053519	543342	9.556084255790864	45.63386450908066	(45.63386450908066, 9.556084255790864)
8202	Temperatura	°C	858	Santa Margherita di Staffora Casanova	575	PV	01/01/2003		N	4957210	518916	9.239041605384262	44.76803190890912	(44.76803190890912, 9.239041605384262)
14517	Precipitazione	mm	1372	Garzeno	581	CO	25/07/2013		N	5108761	519145	9.24783893889176	46.132156427606844	(46.132156427606844, 9.24783893889176)
9106	Precipitazione	mm	1205	Molteno Cimitero	278	LC	01/01/2004		N	5069985	523872	9.30709688159315	45.78301246418984	(45.78301246418984, 9.30709688159315)
5921	Precipitazione	mm	571	Bormio	1225	SO	01/11/1993	12/10/2016	S	5147136	605598	10.375432759159036	46.46952397132585	(46.46952397132585, 10.375432759159036)
8222	Precipitazione	mm	816	Sermide SP 91	10	MN	10/07/2003		N	4987208	680433	11.289925972511382	45.015363087231634	(45.015363087231634, 11.289925972511382)
11845	Direzione Vento	°	141	Vertemate con Minoprio serre	310	CO	16/02/2012		N	5062832	506653	9.085488499092358	45.71901089635149	(45.71901089635149, 9.085488499092358)
2122	Temperatura	°C	109	Sant'Angelo Lodigiano	60	LO	11/03/1993		N	5011978	529787	9.37965968313856	45.26066731979222	(45.26066731979222, 9.37965968313856)
2123	Umidità Relativa	%	109	Sant'Angelo Lodigiano	60	LO	11/03/1993		N	5011978	529787	9.37965968313856	45.26066731979222	(45.26066731979222, 9.37965968313856)
8008	Temperatura	°C	835	Valdisotto Oga S. Colombano	2300	SO	01/01/1995		N	5145272	600293	10.305951823970043	46.45356305894081	(46.45356305894081, 10.305951823970043)
2097	Umidità Relativa	%	107	Sondrio Fond.Fojanini	307	SO	29/01/2001		N	5112796	565505	9.848500587178327	46.16559148475932	(46.16559148475932, 9.848500587178327)
14451	Radiazione Globale	W/m²	1366	Porlezza torrente	291	CO	12/12/2012		N	5098254	510895	9.140799377952803	46.03777316988709	(46.03777316988709, 9.140799377952803)
14587	Temperatura	°C	1379	Gargnano	984	BS	15/07/2015		N	5065317	625847	10.61740677213208	45.72996009420703	(45.72996009420703, 10.61740677213208)
9006	Temperatura	°C	1217	Schilpario	1096	BG	01/01/2004	23/09/2012	S	5095451	588221	10.139475771081505	46.00695141629951	(46.00695141629951, 10.139475771081505)
8212	Temperatura	°C	903	Misinto	247	MB	12/03/2003		N	5056428	505172	9.066390001669983	45.661382244292845	(45.661382244292845, 9.066390001669983)
14096	Direzione Vento	°	1326	Toscolano-Maderno	70	BS	22/03/2012		N	5054923	626016	10.616881058085147	45.63641191007713	(45.63641191007713, 10.616881058085147)
19111	Direzione Vento	°	573	Colico	229	LC	03/12/2013		N	5109468	529713	9.384687247651794	46.1381409051264	(46.1381409051264, 9.384687247651794)
14328	Direzione Vento	°	166	Mantova Lunetta2 SMR	25	MN	21/10/2012		N	5002119	643358	10.823931433968092	45.157985278189244	(45.157985278189244, 10.823931433968092)
14348	Temperatura	°C	1359	Breno Lago Della Vacca	2410	BS	09/12/2012		N	5090337	611798	10.442716428689312	45.957496834144656	(45.957496834144656, 10.442716428689312)
11228	Radiazione Globale	W/m²	1075	Edolo Centrale ENEL	659	BS	20/12/2011		N	5113706	603479	10.340473514382968	46.16907080571305	(46.16907080571305, 10.340473514382968)
8123	Temperatura	°C	867	Caslino d'Erba v. 4 novembre	427	CO	24/07/1998		N	5075784	518046	9.232367048211152	45.83538363837243	(45.83538363837243, 9.232367048211152)
8016	Temperatura	°C	836	Aprica	1950	SO	01/01/1995		N	5109097	588704	10.148256664341748	46.1296816331299	(46.1296816331299, 10.148256664341748)
9074	Velocità Vento	m/s	1202	Vercana	980	CO	15/01/2005		N	5114303	525058	9.324676976148888	46.18184257309385	(46.18184257309385, 9.324676976148888)
6179	Umidità Relativa	%	502	Milano v.Juvara	122	MI	01/01/1999		N	5035546	517377	9.222315138737468	45.473225708577175	(45.473225708577175, 9.222315138737468)
8217	Precipitazione	mm	896	Collio S.Colombano	960	BS	09/04/2003	15/03/2012	S	5073980	606852	10.375271860298373	45.811105655978054	(45.811105655978054, 10.375271860298373)
9091	Precipitazione	mm	1211	Castronno	379	VA	01/01/2004		N	5066146	486058	8.82075558870268	45.748730816584875	(45.748730816584875, 8.82075558870268)
14307	Livello Idrometrico	cm	1350	Locate di Triulzi v. Staffora	92	MI	08/11/2012		N	5022881	515873	9.202665426569475	45.35926119035788	(45.35926119035788, 9.202665426569475)
2065	Precipitazione	mm	104	Segrate Milano Due	120	MI	23/09/1994	16/06/2004	S	5038760	520713	9.26512999260201	45.50206407454183	(45.50206407454183, 9.26512999260201)
9018	Temperatura	°C	1225	Premana Diga di Pagnona	725	LC	01/01/2004	19/06/2014	S	5100122	531422	9.406194660858826	46.05395062506561	(46.05395062506561, 9.406194660858826)
9390	Umidità Relativa	%	1216	Valbondione	1784	BG	01/12/2000		N	5101745	580328	10.038606996418281	46.064560809857326	(46.064560809857326, 10.038606996418281)
8225	Temperatura	°C	873	Ponti sul Mincio Monzambano	62	MN	01/07/2003		N	5027985	633560	10.70629184040345	45.392637348813274	(45.392637348813274, 10.70629184040345)
8179	Precipitazione	mm	895	Soncino v. Brescia	87	CR	01/01/2000		N	5027680	569678	9.89027062156689	45.39916876114939	(45.39916876114939, 9.89027062156689)
